REF_DATE,GEO,DGUID,Components of population growth,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021/2022,"Division No. 5, Newfoundland and Labrador",2016A00031005,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059838197,6.3.1.1,159,,,,0
2021/2022,"Division No. 5, Newfoundland and Labrador",2016A00031005,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059838530,6.4.1.1,6,,,,0
2021/2022,"Division No. 5, Newfoundland and Labrador",2016A00031005,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059838863,6.5.1.1,3,,,,0
2021/2022,"Division No. 5, Newfoundland and Labrador",2016A00031005,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059839196,6.6.1.1,4,,,,0
2021/2022,"Division No. 5, Newfoundland and Labrador",2016A00031005,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059839529,6.7.1.1,324,,,,0
2021/2022,"Division No. 5, Newfoundland and Labrador",2016A00031005,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059839862,6.8.1.1,47,,,,0
2021/2022,"Division No. 5, Newfoundland and Labrador",2016A00031005,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059840195,6.9.1.1,115,,,,0
2021/2022,"Division No. 6, Newfoundland and Labrador",2016A00031006,Births,Both sexes,All ages,Persons,249,units,0,v1059840861,7.1.1.1,276,,,,0
2021/2022,"Division No. 6, Newfoundland and Labrador",2016A00031006,Deaths,Both sexes,All ages,Persons,249,units,0,v1059840867,7.2.1.1,514,,,,0
2021/2022,"Division No. 6, Newfoundland and Labrador",2016A00031006,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059841200,7.3.1.1,145,,,,0
2021/2022,"Division No. 6, Newfoundland and Labrador",2016A00031006,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059841533,7.4.1.1,0,,,,0
2021/2022,"Division No. 6, Newfoundland and Labrador",2016A00031006,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059841866,7.5.1.1,3,,,,0
2021/2022,"Division No. 6, Newfoundland and Labrador",2016A00031006,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059842199,7.6.1.1,0,,,,0
2021/2022,"Division No. 6, Newfoundland and Labrador",2016A00031006,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059842532,7.7.1.1,334,,,,0
2021/2022,"Division No. 6, Newfoundland and Labrador",2016A00031006,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059842865,7.8.1.1,58,,,,0
2021/2022,"Division No. 6, Newfoundland and Labrador",2016A00031006,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059843198,7.9.1.1,39,,,,0
2021/2022,"Division No. 7, Newfoundland and Labrador",2016A00031007,Births,Both sexes,All ages,Persons,249,units,0,v1059843864,8.1.1.1,182,,,,0
2021/2022,"Division No. 7, Newfoundland and Labrador",2016A00031007,Deaths,Both sexes,All ages,Persons,249,units,0,v1059843870,8.2.1.1,448,,,,0
2021/2022,"Division No. 7, Newfoundland and Labrador",2016A00031007,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059844203,8.3.1.1,46,,,,0
2021/2022,"Division No. 7, Newfoundland and Labrador",2016A00031007,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059844536,8.4.1.1,24,,,,0
2021/2022,"Division No. 7, Newfoundland and Labrador",2016A00031007,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059844869,8.5.1.1,4,,,,0
2021/2022,"Division No. 7, Newfoundland and Labrador",2016A00031007,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059845202,8.6.1.1,17,,,,0
2021/2022,"Division No. 7, Newfoundland and Labrador",2016A00031007,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059845535,8.7.1.1,224,,,,0
2021/2022,"Division No. 7, Newfoundland and Labrador",2016A00031007,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059845868,8.8.1.1,-86,,,,0
2021/2022,"Division No. 7, Newfoundland and Labrador",2016A00031007,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059846201,8.9.1.1,51,,,,0
2021/2022,"Division No. 8, Newfoundland and Labrador",2016A00031008,Births,Both sexes,All ages,Persons,249,units,0,v1059846867,9.1.1.1,184,,,,0
2021/2022,"Division No. 8, Newfoundland and Labrador",2016A00031008,Deaths,Both sexes,All ages,Persons,249,units,0,v1059846873,9.2.1.1,516,,,,0
2021/2022,"Division No. 8, Newfoundland and Labrador",2016A00031008,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059847206,9.3.1.1,26,,,,0
2021/2022,"Division No. 8, Newfoundland and Labrador",2016A00031008,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059847539,9.4.1.1,0,,,,0
2021/2022,"Division No. 8, Newfoundland and Labrador",2016A00031008,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059847872,9.5.1.1,0,,,,0
2021/2022,"Division No. 8, Newfoundland and Labrador",2016A00031008,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059848205,9.6.1.1,0,,,,0
2021/2022,"Division No. 8, Newfoundland and Labrador",2016A00031008,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059848538,9.7.1.1,476,,,,0
2021/2022,"Division No. 8, Newfoundland and Labrador",2016A00031008,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059848871,9.8.1.1,-162,,,,0
2021/2022,"Division No. 8, Newfoundland and Labrador",2016A00031008,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059849204,9.9.1.1,18,,,,0
2021/2022,"Division No. 9, Newfoundland and Labrador",2016A00031009,Births,Both sexes,All ages,Persons,249,units,0,v1059849870,10.1.1.1,68,,,,0
2021/2022,"Division No. 9, Newfoundland and Labrador",2016A00031009,Deaths,Both sexes,All ages,Persons,249,units,0,v1059849876,10.2.1.1,225,,,,0
2021/2022,"Division No. 9, Newfoundland and Labrador",2016A00031009,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059850209,10.3.1.1,22,,,,0
2021/2022,"Division No. 9, Newfoundland and Labrador",2016A00031009,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059850542,10.4.1.1,9,,,,0
2021/2022,"Division No. 9, Newfoundland and Labrador",2016A00031009,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059850875,10.5.1.1,4,,,,0
2021/2022,"Division No. 9, Newfoundland and Labrador",2016A00031009,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059851208,10.6.1.1,7,,,,0
2021/2022,"Division No. 9, Newfoundland and Labrador",2016A00031009,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059851541,10.7.1.1,151,,,,0
2021/2022,"Division No. 9, Newfoundland and Labrador",2016A00031009,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059851874,10.8.1.1,-80,,,,0
2021/2022,"Division No. 9, Newfoundland and Labrador",2016A00031009,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059852207,10.9.1.1,1,,,,0
2021/2022,"Division No. 10, Newfoundland and Labrador",2016A00031010,Births,Both sexes,All ages,Persons,249,units,0,v1059852873,11.1.1.1,261,,,,0
2021/2022,"Division No. 10, Newfoundland and Labrador",2016A00031010,Deaths,Both sexes,All ages,Persons,249,units,0,v1059852879,11.2.1.1,191,,,,0
2021/2022,"Division No. 10, Newfoundland and Labrador",2016A00031010,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059853212,11.3.1.1,177,,,,0
2021/2022,"Division No. 10, Newfoundland and Labrador",2016A00031010,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059853545,11.4.1.1,11,,,,0
2021/2022,"Division No. 10, Newfoundland and Labrador",2016A00031010,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059853878,11.5.1.1,3,,,,0
2021/2022,"Division No. 10, Newfoundland and Labrador",2016A00031010,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059854211,11.6.1.1,8,,,,0
2021/2022,"Division No. 10, Newfoundland and Labrador",2016A00031010,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059854544,11.7.1.1,15,,,,0
2021/2022,"Division No. 10, Newfoundland and Labrador",2016A00031010,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059854877,11.8.1.1,-58,,,,0
2021/2022,"Division No. 10, Newfoundland and Labrador",2016A00031010,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059855210,11.9.1.1,16,,,,0
2021/2022,"Division No. 11, Newfoundland and Labrador",2016A00031011,Births,Both sexes,All ages,Persons,249,units,0,v1059855876,12.1.1.1,31,,,,0
2021/2022,"Division No. 11, Newfoundland and Labrador",2016A00031011,Deaths,Both sexes,All ages,Persons,249,units,0,v1059855882,12.2.1.1,31,,,,0
2021/2022,"Division No. 11, Newfoundland and Labrador",2016A00031011,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059856215,12.3.1.1,3,,,,0
2021/2022,"Division No. 11, Newfoundland and Labrador",2016A00031011,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059856548,12.4.1.1,0,,,,0
2021/2022,"Division No. 11, Newfoundland and Labrador",2016A00031011,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059856881,12.5.1.1,0,,,,0
2021/2022,"Division No. 11, Newfoundland and Labrador",2016A00031011,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059857214,12.6.1.1,0,,,,0
2021/2022,"Division No. 11, Newfoundland and Labrador",2016A00031011,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059857547,12.7.1.1,-7,,,,0
2021/2022,"Division No. 11, Newfoundland and Labrador",2016A00031011,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059857880,12.8.1.1,-16,,,,0
2021/2022,"Division No. 11, Newfoundland and Labrador",2016A00031011,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059858213,12.9.1.1,1,,,,0
2021/2022,Prince Edward Island,2016A000211,Births,Both sexes,All ages,Persons,249,units,0,v1059858879,13.1.1.1,1499,,,,0
2021/2022,Prince Edward Island,2016A000211,Deaths,Both sexes,All ages,Persons,249,units,0,v1059858885,13.2.1.1,1443,,,,0
2021/2022,Prince Edward Island,2016A000211,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059859218,13.3.1.1,3436,,,,0
2021/2022,Prince Edward Island,2016A000211,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059859551,13.4.1.1,102,,,,0
2021/2022,Prince Edward Island,2016A000211,Returning emigrants,Both sexes,All ages,Persons,249,units,0,v1059859884,13.5.1.1,98,,,,0
2021/2022,Prince Edward Island,2016A000211,Net temporary emigration,Both sexes,All ages,Persons,249,units,0,v1059860217,13.6.1.1,45,,,,0
2021/2022,Prince Edward Island,2016A000211,Net interprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059860550,13.7.1.1,2260,,,,0
2021/2022,Prince Edward Island,2016A000211,Net intraprovincial migration,Both sexes,All ages,Persons,249,units,0,v1059860883,13.8.1.1,0,,,,0
2021/2022,Prince Edward Island,2016A000211,Net non-permanent residents,Both sexes,All ages,Persons,249,units,0,v1059861216,13.9.1.1,227,,,,0
2021/2022,"Kings, Prince Edward Island",2016A00031101,Births,Both sexes,All ages,Persons,249,units,0,v1059861882,14.1.1.1,164,,,,0
2021/2022,"Kings, Prince Edward Island",2016A00031101,Deaths,Both sexes,All ages,Persons,249,units,0,v1059861888,14.2.1.1,185,,,,0
2021/2022,"Kings, Prince Edward Island",2016A00031101,Immigrants,Both sexes,All ages,Persons,249,units,0,v1059862221,14.3.1.1,111,,,,0
2021/2022,"Kings, Prince Edward Island",2016A00031101,Emigrants,Both sexes,All ages,Persons,249,units,0,v1059862554,14.4.1.1,12,,,,0
